semana,data,peso,var,gordura_corporal,gordura_visceral,musculos_esqueleticos,cintura,peito,braco,coxa,observacoes
1,01/01/2025,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,11/05/2025,102.8,-2.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,27/05/2025,101.0,-1.7999999999999972,31.9,13,32.9,0.0,0.0,0.0,0.0,
4,09/06/2025,99.6,-1.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,11/06/2025,98.7,-0.8999999999999915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,17/06/2025,98.3,-0.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,24/06/2025,97.6,-0.7000000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,01/07/2025,96.7,-0.8999999999999915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,08/07/2025,96.0,-0.7000000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,15/07/2025,95.9,-0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,22/07/2025,95.3,-0.6000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,29/07/2025,94.3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,07/08/2025,93.0,-1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,26/08/2025,92.2,-0.7999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
